OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
O2        O2        YES       Oh        -0.6390   
H2        H2        YES       Ho        0.4450    
C3        C3        YES       Cg        0.0060    
H31       H31       YES       Hc        0.0000    
H32       H32       YES       Hc        0.0000    
C4        C4        YES       Cg        0.3320    
H4        H4        YES       H1        0.0000    
C5        C5        YES       Cg        0.3080    
H5        H5        YES       H1        0.0000    
C6        C6        YES       Cg        0.2200    
H6        H6        YES       H1        0.0000    
C7        C7        YES       Cg        0.1110    
H7        H7        YES       H1        0.0000    
C8        C8        YES       Cg        0.4920    
H8        H8        YES       H1        0.0000    
C9        C9        YES       Cg        0.1780    
H91       H91       YES       H1        0.0000    
H92       H92       YES       H1        0.0000    
C10       C10       YES       C         0.6320    
C11       C11       YES       Cg        -0.0030   
1H11      1H11      YES       Hc        0.0000    
2H11      2H11      YES       Hc        0.0000    
3H11      3H11      YES       Hc        0.0000    
N5        N5        YES       Ng        -0.6290   
H5N       H5N       YES       H         0.2800    
O1A       O1A       YES       O2        -0.7610   
O1B       O1B       YES       O2        -0.7610   
O4        O4        YES       Oh        -0.7620   
H4        H4        YES       Ho        0.4150    
O6        O6        YES       Oy        -0.4030   
O7        O7        YES       Oh        -0.7210   
H7        H7        YES       Ho        0.4350    
O8        O8        YES       Oh        -0.7390   
H8        H8        YES       Ho        0.4120    
O9        O9        YES       Oh        -0.6890   
H9        H9        YES       Ho        0.4080    
O10       O10       YES       O         -0.5930   
